variable,auc,mutual_info,mw_effect,mw_pvalue,boruta,rank_auc,rank_mutual_info,rank_boruta,rank_mw_pvalue,mean_rank,overall_rank
V321,0.5140708841931718,0.00545565460914732,0.028141768386343635,0.08486462686043049,66,58.0,129.0,92.0,58.0,69.7712161567151,44
V121,0.5098019858377537,0.0060317804755782856,0.019603971675507426,0.2299998172718387,12,128.0,115.0,38.0,128.0,70.30749995431796,45
V348,0.5105984841890758,0.007958696587808678,0.021196968378151437,0.19432198239654597,72,106.0,83.0,98.0,106.0,71.79858049559914,46
V342,0.5055965289440268,0.01387707075746869,0.011193057888053692,0.49311956468523055,1,269.0,21.0,14.0,269.0,76.12327989117131,47
V446,0.509718943924468,0.009809402258127209,0.019437887848936075,0.2339717435083769,89,134.0,60.0,115.0,134.0,77.3084929358771,48
V375,0.5100525516107892,0.01197458640834248,0.020105103221578213,0.2183064750473448,131,119.0,36.0,157.5,119.0,78.17957661876184,49
V421,0.5126058904397157,0.0105810791639529,0.025211780879431434,0.12265428483115082,163,80.0,49.0,189.0,80.0,79.53066357120778,50
V435,0.5122938832510702,0.005043209407290528,0.02458776650214023,0.13219065566187724,82,82.0,136.0,108.5,82.0,81.65804766391547,51
V53,0.5088142830810822,0.01272611515737121,0.01762856616216435,0.2804074775815688,117,157.0,28.0,143.0,157.0,82.07010186939539,52
V115,0.5124735673909926,0.002017787692781825,0.024947134781985403,0.12663090679406935,23,81.0,199.0,49.0,81.0,82.28165772669851,53
V249,0.5153669140536998,0.0029432133859399467,0.030733828107399552,0.05985705558717782,84,46.0,177.0,110.0,46.0,83.26496426389679,54
V483,0.5098723874598071,0.0021707078310211347,0.019744774919614128,0.22667023339141545,1,127.0,194.0,14.0,127.0,83.80666755834785,55
V88,0.5131988641018289,0.00970598091416952,0.026397728203657822,0.10601998830539636,179,72.0,61.0,205.5,72.0,84.65150499707636,56
