rank,model,n_vars,features,mean_val_score,std_val_score,penalised_score,mean_contacts,mean_precision
2,SVM_RBF,5,"['V255', 'V191', 'V176', 'V380', 'V160']",4287.0,115.05868068077262,4171.941319319228,998.05,0.6864838947645445
1,ExtraTrees,5,"['V255', 'V191', 'V176', 'V380', 'V160']",4201.5,147.69140123920553,4053.8085987607947,997.3,0.6810467878925313
8,RandomForest,5,"['V255', 'V191', 'V176', 'V380', 'V160']",4133.5,111.69265866653905,4021.807341333461,996.8,0.6766610598706351
3,XGBoost,5,"['V255', 'V191', 'V176', 'V380', 'V160']",4132.5,142.17506813784195,3990.324931862158,996.25,0.6767875453402242
10,LightGBM,5,"['V255', 'V191', 'V176', 'V380', 'V160']",4100.75,139.25942517474357,3961.4905748252563,995.85,0.6748329427424123
0,GradientBoosting,5,"['V255', 'V191', 'V176', 'V380', 'V160']",4095.25,136.45031146904722,3958.7996885309526,997.55,0.6738624978452163
9,SVM_RBF,5,"['V191', 'V176', 'V380', 'V160', 'V416']",3924.5,103.57243841872219,3820.9275615812776,995.7,0.6630564533303512
4,ExtraTrees,5,"['V191', 'V176', 'V380', 'V160', 'V416']",3888.25,125.52166147721277,3762.7283385227875,994.55,0.661020261162672
5,GradientBoosting,5,"['V191', 'V176', 'V380', 'V160', 'V416']",3859.0,145.15164484083533,3713.848355159165,996.65,0.6583498013269291
7,RandomForest,5,"['V191', 'V176', 'V380', 'V160', 'V416']",3828.75,130.2389630640539,3698.5110369359463,996.25,0.6564798354326471
6,XGBoost,5,"['V191', 'V176', 'V380', 'V160', 'V416']",3808.75,146.3034090511906,3662.4465909488094,996.05,0.6551918025966558
14,SVM_RBF,5,"['V176', 'V380', 'V160', 'V416', 'V224']",3766.0,130.05383500689243,3635.9461649931077,995.75,0.6524010907672528
12,ExtraTrees,5,"['V176', 'V380', 'V160', 'V416', 'V224']",3754.25,148.578893184732,3605.671106815268,994.8,0.6519321467851606
15,GradientBoosting,5,"['V176', 'V380', 'V160', 'V416', 'V224']",3753.25,156.4950079076007,3596.7549920923993,996.65,0.6513017478853962
11,RandomForest,5,"['V176', 'V380', 'V160', 'V416', 'V224']",3715.75,127.38009067354285,3588.369909326457,993.5,0.6497962597024595
16,XGBoost,5,"['V176', 'V380', 'V160', 'V416', 'V224']",3736.0,156.5135776857714,3579.4864223142285,996.2,0.650273349842805
17,LightGBM,5,"['V176', 'V380', 'V160', 'V416', 'V224']",3670.5,141.41163318482677,3529.0883668151732,993.4,0.6468135381253722
13,LightGBM,5,"['V191', 'V176', 'V380', 'V160', 'V416']",3651.0,158.03955201151388,3492.960447988486,993.85,0.6453437566687246
18,RandomForest,5,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]",2972.5,124.97499749949988,2847.5250025005002,995.15,0.5994622931844573
19,LogRegl1,5,"['V255', 'V191', 'V176', 'V380', 'V160']",2806.0,151.48927354766738,2654.5107264523326,991.85,0.5891555741113575
