rank,model,n_vars,features,mean_val_score,std_val_score,penalised_score,mean_contacts,mean_precision
11,SVM_RBF,4,"['V255', 'V191', 'V176', 'V380']",4092.5,114.31863365173676,3978.181366348263,994.9,0.6612276471805065
2,SVM_RBF,4,"['V191', 'V176', 'V380', 'V160']",4065.25,111.04588015770778,3954.204119842292,996.6,0.6587906871277439
4,ExtraTrees,4,"['V191', 'V176', 'V380', 'V160']",4041.75,116.07406040972289,3925.6759395902773,996.5,0.6572569230767578
1,GradientBoosting,4,"['V191', 'V176', 'V380', 'V160']",4052.25,145.21083809413125,3907.0391619058687,995.0,0.6584394827006955
6,RandomForest,4,"['V191', 'V176', 'V380', 'V160']",4042.5,143.33963164456645,3899.1603683554335,995.45,0.6576498930330581
0,XGBoost,4,"['V191', 'V176', 'V380', 'V160']",4041.5,159.95389960860598,3881.5461003913942,993.55,0.6582474809190504
5,GradientBoosting,4,"['V255', 'V191', 'V176', 'V380']",4034.75,171.79548160530882,3862.954518394691,997.0,0.6566327173228144
10,XGBoost,4,"['V255', 'V191', 'V176', 'V380']",4023.5,167.27298048399808,3856.2270195160017,995.8,0.6562474412085961
12,LightGBM,4,"['V255', 'V191', 'V176', 'V380']",3979.5,160.6307878334661,3818.869212166534,996.05,0.6532278141869975
7,RandomForest,4,"['V255', 'V191', 'V176', 'V380']",3945.75,133.87750931355126,3811.8724906864486,995.9,0.6510387243210712
3,ExtraTrees,4,"['V255', 'V191', 'V176', 'V380']",3949.75,157.12634247636518,3792.623657523635,991.5,0.6526933511357988
8,LightGBM,4,"['V191', 'V176', 'V380', 'V160']",3851.0,158.03955201151388,3692.960447988486,993.85,0.6453437566687246
14,GradientBoosting,4,"['V176', 'V380', 'V160', 'V416']",3685.75,125.40210325189925,3560.3478967481005,992.4,0.6346776446379447
9,ExtraTrees,4,"['V176', 'V380', 'V160', 'V416']",3697.5,166.3843442154339,3531.115655784566,996.65,0.634187641899832
13,RandomForest,4,"['V176', 'V380', 'V160', 'V416']",3678.25,148.82267132396194,3529.427328676038,991.8,0.634378006111578
15,SVM_RBF,4,"['V176', 'V380', 'V160', 'V416']",3669.25,140.4392662327741,3528.810733767226,993.6,0.6332470244420362
17,LightGBM,4,"['V176', 'V380', 'V160', 'V416']",3645.25,136.12012158384226,3509.1298784161577,994.65,0.631277445238587
16,XGBoost,4,"['V176', 'V380', 'V160', 'V416']",3669.75,162.06075249732737,3507.6892475026725,995.45,0.6326656609437761
19,SVM_RBF,4,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]",3534.25,123.24036473493577,3411.0096352650644,992.1,0.6246794814562586
18,ExtraTrees,4,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]",3362.0,147.5923439748824,3214.407656025118,995.5,0.6120836342865303
