rank,model,n_vars,features,mean_val_score,std_val_score,penalised_score,mean_contacts,mean_precision
5,SVM_RBF,3,"['V255', 'V191', 'V176']",4051.25,142.76619873065192,3908.483801269348,990.2,0.6465039573441369
0,ExtraTrees,3,"['V255', 'V191', 'V176']",3975.5,140.6316109557165,3834.8683890442835,996.35,0.6394818406644591
2,GradientBoosting,3,"['V255', 'V191', 'V176']",3981.75,152.77659342975284,3828.9734065702473,996.9,0.6397220430640835
3,XGBoost,3,"['V255', 'V191', 'V176']",3969.75,162.90699033497611,3806.843009665024,997.65,0.6386965276080813
6,RandomForest,3,"['V255', 'V191', 'V176']",3945.25,158.12554347732691,3787.124456522673,994.15,0.638151830183179
8,ExtraTrees,3,"['V191', 'V176', 'V380']",3872.5,99.84362773857929,3772.6563722614205,992.35,0.6338410327448962
10,SVM_RBF,3,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]",3885.25,114.3183602926494,3770.9316397073508,996.7,0.633353044569228
9,GradientBoosting,3,"['V176', 'V380', 'V160']",3885.75,125.40210325189925,3760.3478967481005,992.4,0.6346776446379447
4,RandomForest,3,"['V176', 'V380', 'V160']",3877.0,124.35232205310844,3752.6476779468917,991.0,0.6345202240107828
16,RandomForest,3,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]",3904.5,156.70753013177128,3747.7924698682286,997.05,0.6345266949801812
14,SVM_RBF,3,"['V191', 'V176', 'V380']",3821.25,84.33378623066795,3736.916213769332,992.1,0.6304686477823458
13,LightGBM,3,"['V176', 'V380', 'V160']",3845.25,136.12012158384226,3709.1298784161577,994.65,0.631277445238587
11,SVM_RBF,3,"['V176', 'V380', 'V160']",3825.75,155.3083626209484,3670.441637379052,994.35,0.6300466762218075
15,RandomForest,3,"['V191', 'V176', 'V380']",3786.0,121.97950647547317,3664.020493524527,995.4,0.6271092845995652
18,GradientBoosting,3,"['V191', 'V176', 'V380']",3796.25,137.6487831402806,3658.6012168597194,993.8,0.6282322064900456
19,XGBoost,3,"['V191', 'V176', 'V380']",3787.5,128.99127877496215,3658.508721225038,991.35,0.6283944240442659
12,ExtraTrees,3,"['V176', 'V380', 'V160']",3808.0,165.57022679213796,3642.429773207862,994.3,0.6289276074426454
1,XGBoost,3,"['V176', 'V380', 'V160']",3714.25,154.7843257568414,3559.4656742431584,994.9,0.6224321245280282
7,ExtraTrees,3,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]",3690.25,156.20079225151196,3534.0492077484882,997.6,0.6200405922315692
17,LightGBM,3,"['V255', 'V191', 'V176']",3658.75,143.02862475742398,3515.721375242576,997.3,0.6180128181099146
