k,kind,model,cv_score,cv_score_std,features,best_params,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std
4,rand_1,SVM_RBF,255.0,56.12486080160912,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__C': np.float64(0.23522021535538676), 'clf__gamma': np.float64(0.41659447770210534)}",0.5873333333333333,0.0083399973354645,0.5870032756988891,0.0084405776701206,0.5986849934848094,0.0056012056989642
5,top+1,ExtraTrees,250.0,64.8074069840786,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__max_depth': 6, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 383}",0.6246666666666666,0.0069442222186665,0.6241415222156497,0.0068856544940771,0.6590230408040388,0.0099900997907072
3,rand_0,XGBoost,245.0,97.21111047611792,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.5583333333333335,0.0151510909031513,0.5577846538620502,0.0151564887222673,0.5737665521220062,0.0200941893389293
2,rand_0,LogRegl2,245.0,128.64680330268607,"[np.str_('V416'), np.str_('V377')]",{'clf__C': np.float64(0.041924993150460804)},0.5243333333333333,0.0235843639350783,0.5240359949192245,0.0234823911453253,0.5261147635407885,0.0269089990675841
5,top+1,GradientBoosting,245.0,18.708286933869708,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__learning_rate': np.float64(0.018707545279571126), 'clf__max_depth': 3, 'clf__n_estimators': 316, 'clf__subsample': np.float64(0.7363207269058605)}",0.621,0.0045460605656619,0.6207014420267947,0.0044821403283301,0.6363592886076411,0.005842455970848
4,rand_1,XGBoost,240.0,42.42640687119285,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__colsample_bytree': np.float64(0.9781553776273282), 'clf__learning_rate': np.float64(0.024003275755425057), 'clf__max_depth': 3, 'clf__n_estimators': 246, 'clf__subsample': np.float64(0.7911784778845199)}",0.592,0.0092014491612281,0.5916761178146542,0.0091726068653573,0.6047736033966671,0.011266230915468
5,top+1,XGBoost,235.0,42.42640687119285,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__colsample_bytree': np.float64(0.7694648776168372), 'clf__learning_rate': np.float64(0.018707545279571126), 'clf__max_depth': 4, 'clf__n_estimators': 416, 'clf__subsample': np.float64(0.7363207269058605)}",0.622,0.0123288280059379,0.6217488526408766,0.0122752276735616,0.6346674856890678,0.0148105004392749
5,top+1,RandomForest,235.0,53.38539126015655,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__max_depth': 10, 'clf__min_samples_leaf': 12, 'clf__n_estimators': 412}",0.6256666666666667,0.0057348835113617,0.6254201714193384,0.0057346742338113,0.6382905867289664,0.0069669756734306
5,top,RandomForest,235.0,12.24744871391589,"['V255', 'V191', 'V176', 'V380', 'V160']","{'clf__max_depth': 10, 'clf__min_samples_leaf': 6, 'clf__n_estimators': 432}",0.648,0.0077888809636986,0.6477660753081361,0.0077121892767108,0.6619412740612899,0.0111711131249528
5,top+1,SVM_RBF,230.0,77.78174593052023,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__C': np.float64(0.15166336526237675), 'clf__gamma': np.float64(0.109860831937539)}",0.6310000000000001,0.0049665548085837,0.630633653717415,0.0048847410379886,0.6532242325932668,0.0098361737976746
4,rand_1,LightGBM,230.0,37.416573867739416,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__learning_rate': np.float64(0.010354499341257054), 'clf__max_depth': 3, 'clf__n_estimators': 427, 'clf__num_leaves': 42, 'clf__subsample': np.float64(0.9367764923887465)}",0.5863333333333333,0.0012472191289246,0.5859106111902973,0.0012519109858477,0.602976925364985,0.0029320634289021
4,top,LogRegl1,230.0,7.0710678118654755,"['V255', 'V191', 'V176', 'V380']",{'clf__C': np.float64(0.6393794237097356)},0.5626666666666665,0.0135728487143348,0.5626315222430809,0.0136261456686042,0.5612145309958431,0.01200206566117
4,rand_1,RandomForest,225.0,64.8074069840786,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.5906666666666666,0.0087305339024725,0.5902014399269201,0.0087021618346813,0.6112313010684197,0.00946696826899
5,top,LightGBM,225.0,30.822070014844883,"['V255', 'V191', 'V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.637,0.0069761498454854,0.6367124850344754,0.0069299885498017,0.6539842873176207,0.0078073871626385
