k,kind,model,cv_score,features,best_params,accuracy,balanced_accuracy,precision
3,rand_2,LogRegl2,295.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]",{'clf__C': np.float64(0.041924993150460804)},0.5583333333333333,0.5582614848169852,0.5579609261142475
3,rand_0,SVM_RBF,295.0,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.5573333333333333,0.5563592648146408,0.5968775496067075
3,rand_0,ExtraTrees,295.0,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.5603333333333333,0.5594594091936961,0.5937050563224037
4,rand_2,ExtraTrees,290.0,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.5913333333333334,0.5907294458149223,0.6200210405725374
3,top+2,LogRegl1,290.0,"['V176', 'V380', 'V160']",{'clf__C': np.float64(2.197148278547012)},0.544,0.5439182288052676,0.5431501498526892
3,rand_0,RandomForest,285.0,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.561,0.5602407188666824,0.5897899831649832
3,top+2,LogRegl2,285.0,"['V176', 'V380', 'V160']",{'clf__C': np.float64(0.041924993150460804)},0.5436666666666667,0.5435835434498218,0.5428386804944537
4,rand_2,GradientBoosting,280.0,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 3, 'clf__n_estimators': 147, 'clf__subsample': np.float64(0.6281833256741867)}",0.5906666666666666,0.5903040953022739,0.6050339706787313
5,top,ExtraTrees,275.0,"['V255', 'V191', 'V176', 'V380', 'V160']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.6473333333333334,0.6468633931585176,0.6832908662584236
4,rand_2,RandomForest,270.0,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.5910000000000001,0.5903302057373349,0.6245472409655671
3,rand_0,GradientBoosting,265.0,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.5609999999999999,0.560348115080557,0.5839086270300444
4,top+2,LightGBM,265.0,"['V176', 'V380', 'V160', 'V416']","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 4, 'clf__n_estimators': 247, 'clf__num_leaves': 27, 'clf__subsample': np.float64(0.9394734067154433)}",0.5943333333333333,0.5940787972966034,0.6043293824945785
4,top+2,XGBoost,260.0,"['V176', 'V380', 'V160', 'V416']","{'clf__colsample_bytree': np.float64(0.7655331788949136), 'clf__learning_rate': np.float64(0.02651034264899119), 'clf__max_depth': 5, 'clf__n_estimators': 238, 'clf__subsample': np.float64(0.8612364919499478)}",0.5886666666666667,0.5883706923130988,0.6004489337822672
5,top,GradientBoosting,255.0,"['V255', 'V191', 'V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.034607386039615676), 'clf__max_depth': 3, 'clf__n_estimators': 138, 'clf__subsample': np.float64(0.8612364919499478)}",0.646,0.6457167086249157,0.6633881223654011
5,top,XGBoost,250.0,"['V255', 'V191', 'V176', 'V380', 'V160']","{'clf__colsample_bytree': np.float64(0.6829964000433091), 'clf__learning_rate': np.float64(0.10365965539088552), 'clf__max_depth': 3, 'clf__n_estimators': 323, 'clf__subsample': np.float64(0.7628354029927442)}",0.6336666666666667,0.6335417425683602,0.6392315222711699
4,rand_1,GradientBoosting,250.0,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.5906666666666666,0.5902633947698697,0.6078577055830493
5,top,SVM_RBF,235.0,"['V255', 'V191', 'V176', 'V380', 'V160']","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.654,0.653482851483871,0.6956277460037806
4,rand_1,SVM_RBF,235.0,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.5876666666666667,0.5872140112063474,0.605551129785701
5,top+1,ExtraTrees,230.0,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.6223333333333333,0.6218194655020381,0.6558311022955142
4,top,LogRegl1,230.0,"['V255', 'V191', 'V176', 'V380']",{'clf__C': np.float64(0.6393794237097356)},0.5626666666666665,0.5626315222430809,0.5612145309958431
4,rand_1,RandomForest,225.0,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.5906666666666666,0.5902014399269201,0.6112313010684197
5,top+1,GradientBoosting,225.0,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 3, 'clf__n_estimators': 147, 'clf__subsample': np.float64(0.6281833256741867)}",0.6166666666666667,0.6164240143070171,0.6280237716355574
3,rand_1,LogRegl1,225.0,"[np.str_('V160'), np.str_('V175'), np.str_('V212')]",{'clf__C': np.float64(2.197148278547012)},0.5579999999999999,0.557943947435891,0.5574673915639402
5,top+1,SVM_RBF,220.0,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.6256666666666667,0.6252668599805653,0.6481654141166903
4,top,LogRegl2,220.0,"['V255', 'V191', 'V176', 'V380']",{'clf__C': np.float64(0.041924993150460804)},0.562,0.5619741784722502,0.5603039639025669
3,rand_1,LogRegl2,220.0,"[np.str_('V160'), np.str_('V175'), np.str_('V212')]",{'clf__C': np.float64(0.041924993150460804)},0.559,0.55894263008148,0.5585777781350639
4,rand_1,ExtraTrees,215.0,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.5876666666666667,0.5871414033401137,0.6106896851610935
4,rand_2,XGBoost,210.0,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]","{'clf__colsample_bytree': np.float64(0.7655331788949136), 'clf__learning_rate': np.float64(0.02651034264899119), 'clf__max_depth': 5, 'clf__n_estimators': 238, 'clf__subsample': np.float64(0.8612364919499478)}",0.5783333333333333,0.5779624307641601,0.59024500209303
5,top+2,ExtraTrees,200.0,"['V176', 'V380', 'V160', 'V416', 'V224']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.6163333333333333,0.61582270911416,0.6465398877845657
3,rand_1,LightGBM,200.0,"[np.str_('V160'), np.str_('V175'), np.str_('V212')]","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 4, 'clf__n_estimators': 247, 'clf__num_leaves': 27, 'clf__subsample': np.float64(0.9394734067154433)}",0.5563333333333333,0.5561246164477275,0.55937387748974
5,top+1,LightGBM,200.0,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 6, 'clf__n_estimators': 484, 'clf__num_leaves': 15, 'clf__subsample': np.float64(0.8804927450629726)}",0.618,0.6177579753682239,0.6295527533418834
5,top+1,XGBoost,195.0,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__colsample_bytree': np.float64(0.6829964000433091), 'clf__learning_rate': np.float64(0.10365965539088552), 'clf__max_depth': 3, 'clf__n_estimators': 323, 'clf__subsample': np.float64(0.7628354029927442)}",0.6013333333333333,0.6011589906625803,0.607206153473778
