k,kind,model,cv_score,features,best_params,accuracy,balanced_accuracy,precision
3,top,ExtraTrees,585.0,"['V255', 'V191', 'V176']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.6103333333333333,0.6098558275330881,0.636925111298559
3,top+1,ExtraTrees,575.0,"['V191', 'V176', 'V380']","{'clf__max_depth': 11, 'clf__min_samples_leaf': 15, 'clf__n_estimators': 251}",0.604,0.6035343665487581,0.6281666666666667
3,top,XGBoost,565.0,"['V255', 'V191', 'V176']","{'clf__colsample_bytree': np.float64(0.9771170310658897), 'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__subsample': np.float64(0.6482976441389584)}",0.5943333333333333,0.5940193761427376,0.6082300840921531
3,top,GradientBoosting,565.0,"['V255', 'V191', 'V176']","{'clf__learning_rate': np.float64(0.018707545279571126), 'clf__max_depth': 3, 'clf__n_estimators': 316, 'clf__subsample': np.float64(0.7363207269058605)}",0.6070000000000001,0.606652357834509,0.6249845694889672
3,top+2,ExtraTrees,565.0,"['V176', 'V380', 'V160']","{'clf__max_depth': 5, 'clf__min_samples_leaf': 8, 'clf__n_estimators': 583}",0.6076666666666667,0.6070364411026177,0.6455993858936915
3,top+2,RandomForest,565.0,"['V176', 'V380', 'V160']","{'clf__max_depth': 9, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 295}",0.6166666666666667,0.6163226663383145,0.63663827827818
3,top+1,SVM_RBF,555.0,"['V191', 'V176', 'V380']","{'clf__C': np.float64(4.721229607750618), 'clf__gamma': np.float64(0.06832788177059916)}",0.605,0.6044856676745353,0.6325504345655479
3,top+2,XGBoost,555.0,"['V176', 'V380', 'V160']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.604,0.6035856680484065,0.6251839761841277
3,top,SVM_RBF,550.0,"['V255', 'V191', 'V176']","{'clf__C': np.float64(48.01761562402178), 'clf__gamma': np.float64(0.008644104356930561)}",0.6106666666666666,0.6099232725228554,0.659461972985206
3,top+1,XGBoost,550.0,"['V191', 'V176', 'V380']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.6013333333333333,0.6009815475796422,0.6200324033036516
3,top+2,GradientBoosting,545.0,"['V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.6063333333333333,0.6059090451826793,0.6289935693269026
3,top+2,SVM_RBF,540.0,"['V176', 'V380', 'V160']","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.6003333333333333,0.5999722776208523,0.61773023101075
3,top+2,LightGBM,540.0,"['V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__num_leaves': 35, 'clf__subsample': np.float64(0.664083523552488)}",0.6046666666666666,0.6042570598723945,0.6276808715800987
3,top+1,RandomForest,540.0,"['V191', 'V176', 'V380']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.5956666666666667,0.5951107588726776,0.6274410870572406
3,top+1,GradientBoosting,535.0,"['V191', 'V176', 'V380']","{'clf__learning_rate': np.float64(0.034607386039615676), 'clf__max_depth': 3, 'clf__n_estimators': 138, 'clf__subsample': np.float64(0.8612364919499478)}",0.594,0.5935747348563135,0.6151135131116715
3,rand_2,RandomForest,535.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.5983333333333333,0.5978435155717852,0.6234119039270215
3,rand_2,SVM_RBF,535.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.6043333333333333,0.6039935954523966,0.6217971960753667
3,top,RandomForest,530.0,"['V255', 'V191', 'V176']","{'clf__max_depth': 6, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 238}",0.6033333333333334,0.6029109780529154,0.6267544650159677
3,rand_2,ExtraTrees,530.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__max_depth': 9, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 295}",0.6,0.5994929146569209,0.6257756709533338
3,top+1,LightGBM,525.0,"['V191', 'V176', 'V380']","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.5906666666666666,0.5902820230131942,0.6087969938798669
3,rand_2,GradientBoosting,520.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.602,0.6015822430981298,0.6243899140830834
3,top,LightGBM,490.0,"['V255', 'V191', 'V176']","{'clf__learning_rate': np.float64(0.01659816376671886), 'clf__max_depth': 5, 'clf__n_estimators': 402, 'clf__num_leaves': 28, 'clf__subsample': np.float64(0.8698475964977794)}",0.5883333333333334,0.5880332605641755,0.6008191701294474
3,rand_2,XGBoost,470.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__colsample_bytree': np.float64(0.9771170310658897), 'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__subsample': np.float64(0.6482976441389584)}",0.604,0.6036723098337294,0.6193038407491572
4,top+1,XGBoost,455.0,"['V191', 'V176', 'V380', 'V160']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.6276666666666667,0.6272988007549819,0.649970415029674
3,rand_2,LightGBM,450.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__num_leaves': 35, 'clf__subsample': np.float64(0.664083523552488)}",0.6063333333333333,0.6059357530781412,0.6280549742270262
4,top,GradientBoosting,430.0,"['V255', 'V191', 'V176', 'V380']","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 3, 'clf__n_estimators': 147, 'clf__subsample': np.float64(0.6281833256741867)}",0.6156666666666667,0.6154159987387882,0.6281124089475203
4,top,XGBoost,430.0,"['V255', 'V191', 'V176', 'V380']","{'clf__colsample_bytree': np.float64(0.7694648776168372), 'clf__learning_rate': np.float64(0.018707545279571126), 'clf__max_depth': 4, 'clf__n_estimators': 416, 'clf__subsample': np.float64(0.7363207269058605)}",0.6166666666666666,0.6164405154050646,0.6286110710874171
4,top,ExtraTrees,425.0,"['V255', 'V191', 'V176', 'V380']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.6183333333333333,0.6178567086036286,0.6464459428430523
4,top+1,RandomForest,425.0,"['V191', 'V176', 'V380', 'V160']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 7, 'clf__n_estimators': 234}",0.628,0.6276001659777999,0.6545588576499816
