rank,model,n_vars,features,mean_val_score,std_val_score,penalised_score,mean_contacts,mean_precision
5,SVM_RBF,7,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3968.5,123.02540388066198,3845.474596119338,997.2,0.6922485972870325
2,XGBoost,7,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3756.25,113.05833671162866,3643.1916632883713,997.05,0.6781064272905599
1,ExtraTrees,7,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3770.25,153.2112512187013,3617.0387487812986,995.45,0.6795745447103829
0,GradientBoosting,7,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3729.5,116.66083318749271,3612.8391668125073,997.3,0.6762357685156322
10,SVM_RBF,7,"[np.str_('V255'), np.str_('V191'), np.str_('V380'), np.str_('V160'), np.str_('V416'), np.str_('V224'), np.str_('V390')]",3684.75,90.79475480444891,3593.955245195551,995.15,0.6739864449197597
17,RandomForest,7,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3696.25,155.30514318592284,3540.944856814077,996.75,0.6741907366709664
12,SVM_RBF,7,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3643.25,103.44412743118868,3539.8058725688115,997.6,0.670360739477176
14,XGBoost,7,"[np.str_('V255'), np.str_('V191'), np.str_('V380'), np.str_('V160'), np.str_('V416'), np.str_('V224'), np.str_('V390')]",3655.75,122.8746820952144,3532.875317904786,996.6,0.6715482309576528
4,ExtraTrees,7,"[np.str_('V255'), np.str_('V191'), np.str_('V380'), np.str_('V160'), np.str_('V416'), np.str_('V224'), np.str_('V390')]",3636.25,135.78360541685436,3500.4663945831458,996.6,0.6702171755747578
16,GradientBoosting,7,"[np.str_('V255'), np.str_('V191'), np.str_('V380'), np.str_('V160'), np.str_('V416'), np.str_('V224'), np.str_('V390')]",3614.5,117.99258451275657,3496.5074154872436,997.35,0.668522413384632
19,RandomForest,7,"[np.str_('V255'), np.str_('V191'), np.str_('V380'), np.str_('V160'), np.str_('V416'), np.str_('V224'), np.str_('V390')]",3608.5,119.12283576208216,3489.377164237918,995.25,0.6688300061370448
8,LightGBM,7,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416', 'V224']",3614.25,136.43015612393032,3477.8198438760696,997.7,0.6683957536917757
3,ExtraTrees,7,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3563.75,131.04269342470033,3432.7073065752998,991.45,0.667130180117607
9,XGBoost,7,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3570.5,170.91591499915975,3399.5840850008403,996.7,0.6657992297477014
15,RandomForest,7,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3534.0,155.3673067282818,3378.6326932717184,995.0,0.663935359178733
7,GradientBoosting,7,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3522.5,157.95964674561665,3364.5403532543833,998.35,0.6620408686373883
6,ExtraTrees,7,"['V176', 'V380', 'V160', 'V416', 'V224', 'V377', 'V390']",3469.5,158.28692302271847,3311.2130769772816,994.55,0.6597648581266947
18,XGBoost,7,"['V176', 'V380', 'V160', 'V416', 'V224', 'V377', 'V390']",3421.5,131.32117117966928,3290.1788288203306,995.75,0.65614371928996
13,GradientBoosting,7,"['V176', 'V380', 'V160', 'V416', 'V224', 'V377', 'V390']",3403.25,115.16591292565695,3288.084087074343,995.8,0.6549300822088399
11,LightGBM,7,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224', 'V377']",3406.75,173.84098337273636,3232.9090166272636,997.2,0.6547119673079171
