rank,model,n_vars,features,mean_val_score,std_val_score,penalised_score,mean_contacts,mean_precision
10,SVM_RBF,2,"[np.str_('V191'), np.str_('V416')]",3849.5,134.83230325111265,3714.6676967488875,992.1,0.6188818825333534
12,ExtraTrees,2,"[np.str_('V191'), np.str_('V416')]",3807.0,152.47458804666437,3654.5254119533356,995.5,0.6150670919659703
2,LightGBM,2,"[np.str_('V191'), np.str_('V416')]",3781.75,131.42749902512793,3650.322500974872,995.0,0.61352644336009
17,XGBoost,2,"[np.str_('V191'), np.str_('V416')]",3723.75,140.2486630952324,3583.5013369047674,994.45,0.6097695409567327
7,GradientBoosting,2,"['V255', 'V191']",3688.75,111.14039544648021,3577.6096045535196,992.75,0.6079495844276405
4,GradientBoosting,2,"[np.str_('V191'), np.str_('V416')]",3683.0,105.82296537141643,3577.1770346285834,993.3,0.6073885084729954
9,ExtraTrees,2,"['V255', 'V191']",3677.75,125.24451085776175,3552.5054891422383,995.4,0.6064459240260294
3,ExtraTrees,2,"['V191', 'V176']",3613.75,99.45947667266303,3514.290523327337,993.5,0.6026996444464241
14,SVM_RBF,2,"['V191', 'V176']",3645.0,135.32368602724358,3509.6763139727564,990.25,0.6056879342228113
13,XGBoost,2,"['V255', 'V191']",3631.0,126.34872377669669,3504.6512762233033,991.55,0.6043722200601735
1,RandomForest,2,"[np.str_('V191'), np.str_('V416')]",3654.5,153.71158056568152,3500.7884194343187,996.15,0.6047146510549178
8,XGBoost,2,"['V191', 'V176']",3505.25,113.70438645892251,3391.5456135410773,996.15,0.5946849369264946
11,GradientBoosting,2,"['V191', 'V176']",3505.25,121.08339068592356,3384.1666093140766,988.2,0.5968656163194399
6,RandomForest,2,"['V255', 'V191']",3539.75,157.00696640595282,3382.743033594047,994.95,0.5973575062581558
18,SVM_RBF,2,"['V176', 'V380']",3467.75,137.27231148341605,3330.477688516584,994.65,0.5925672443040806
15,ExtraTrees,2,"['V176', 'V380']",3458.0,134.69780993022863,3323.3021900697713,995.4,0.5917020357453858
5,LightGBM,2,"['V191', 'V176']",3453.25,130.85559789325026,3322.3944021067496,993.2,0.5920032794593342
19,LightGBM,2,"['V255', 'V191']",3479.5,175.65520202943037,3303.8447979705697,997.1,0.5927157214844152
0,RandomForest,2,"['V191', 'V176']",3436.25,138.71621210226294,3297.533787897737,991.8,0.5913044624650231
16,RandomForest,2,"['V176', 'V380']",3403.25,122.28322656848731,3280.9667734315126,995.25,0.5881034453263408
