k,kind,model,cv_score,cv_score_std,features,best_params,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std
3,top,ExtraTrees,580.0,28.284271247461902,"['V255', 'V191', 'V176']","{'clf__max_depth': 6, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 238}",0.611,0.011313708498984772,0.6105212246080194,0.011276823718880101,0.6374468480806134,0.013942875460002653
3,top+2,XGBoost,570.0,28.284271247461902,"['V176', 'V380', 'V160']","{'clf__colsample_bytree': np.float64(0.7420988439976136), 'clf__learning_rate': np.float64(0.0108576321750405), 'clf__max_depth': 6, 'clf__n_estimators': 215, 'clf__subsample': np.float64(0.7323701126489202)}",0.5926666666666666,0.009741092797468313,0.5922594801224915,0.009702134939423826,0.610766905056919,0.013373996849523825
3,top,XGBoost,565.0,30.822070014844883,"['V255', 'V191', 'V176']","{'clf__colsample_bytree': np.float64(0.9781553776273282), 'clf__learning_rate': np.float64(0.024003275755425057), 'clf__max_depth': 3, 'clf__n_estimators': 246, 'clf__subsample': np.float64(0.7911784778845199)}",0.6156666666666667,0.0023570226039551605,0.6153733039213489,0.0023476016961264706,0.6305367298948453,0.004564304185620592
3,top,GradientBoosting,565.0,30.822070014844883,"['V255', 'V191', 'V176']","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.6143333333333333,0.012283683848458864,0.6139860208874303,0.012211228999282652,0.6320445870817312,0.014980420997056607
3,top,RandomForest,560.0,24.49489742783178,"['V255', 'V191', 'V176']","{'clf__max_depth': 6, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 238}",0.6176666666666666,0.009741092797468313,0.6172387451045492,0.00962088754313901,0.6411386962218535,0.014074736715726434
3,top,SVM_RBF,560.0,21.213203435596427,"['V255', 'V191', 'V176']","{'clf__C': np.float64(0.23522021535538676), 'clf__gamma': np.float64(0.41659447770210534)}",0.6123333333333333,0.008178562764256872,0.6118405978920035,0.008041347070282147,0.639094710480173,0.014112020692970566
3,top+2,RandomForest,560.0,36.742346141747674,"['V176', 'V380', 'V160']","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.6,0.0077888809636986215,0.5995223152897369,0.007712125925633825,0.6236387520525452,0.010809940733487471
3,top+1,ExtraTrees,555.0,30.822070014844883,"['V191', 'V176', 'V380']","{'clf__max_depth': 10, 'clf__min_samples_leaf': 6, 'clf__n_estimators': 432}",0.6033333333333334,0.002624669291337273,0.6028843226935187,0.0026517975416762494,0.6257959557971134,0.004787702881402331
3,rand_2,ExtraTrees,555.0,83.36666000266533,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__max_depth': 9, 'clf__min_samples_leaf': 16, 'clf__n_estimators': 276}",0.595,0.013880441875771355,0.5944882545454777,0.013805651194049631,0.6195949572158496,0.017404224332403757
3,top+2,GradientBoosting,555.0,25.495097567963924,"['V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.6006666666666666,0.010077477638553992,0.6002623410239821,0.010032959310978718,0.6194051261226227,0.011352910476377268
